Barcode,Name,Quantity,Description,Date,Barcode Type
"01158","","1","","2018-12-14T11:46:52","QR_CODE"
"01159","","1","","2018-12-14T11:48:34","QR_CODE"
"01160","","1","","2018-12-14T11:48:42","QR_CODE"
"01161","","1","","2018-12-14T11:48:49","QR_CODE"
"01163","","1","","2018-12-14T11:48:59","QR_CODE"
"01164","","1","","2018-12-14T11:49:06","QR_CODE"
"01165","","1","","2018-12-14T11:49:16","QR_CODE"
"01166","","1","","2018-12-14T11:49:22","QR_CODE"
"00914","","1","","2018-12-14T11:49:26","QR_CODE"
"00915","","1","","2018-12-14T11:49:33","QR_CODE"
"00916","","1","","2018-12-14T11:49:36","QR_CODE"
"00917","","1","","2018-12-14T11:49:44","QR_CODE"
"00918","","1","","2018-12-14T11:49:50","QR_CODE"
"00919","","1","","2018-12-14T11:49:56","QR_CODE"
"00920","","1","","2018-12-14T11:50:01","QR_CODE"
"00921","","1","","2018-12-14T11:50:07","QR_CODE"
"00922","","1","","2018-12-14T11:50:16","QR_CODE"
"00849","","1","","2018-12-14T11:50:23","QR_CODE"
"00850","","1","","2018-12-14T11:50:29","QR_CODE"
"00851","","1","","2018-12-14T11:50:35","QR_CODE"
"00852","","1","","2018-12-14T11:50:39","QR_CODE"
"00853","","1","","2018-12-14T11:50:45","QR_CODE"
"00854","","1","","2018-12-14T11:50:57","QR_CODE"
"00855","","1","","2018-12-14T11:51:00","QR_CODE"
"00856","","1","","2018-12-14T11:51:24","QR_CODE"
"00857","","1","","2018-12-14T11:51:31","QR_CODE"
"00837","","1","","2018-12-14T11:51:35","QR_CODE"
"00838","","1","","2018-12-14T11:51:38","QR_CODE"
"00839","","1","","2018-12-14T11:51:44","QR_CODE"
"00840","","1","","2018-12-14T11:51:47","QR_CODE"
"00841","","1","","2018-12-14T11:51:53","QR_CODE"
"00842","","1","","2018-12-14T11:51:59","QR_CODE"
"00843","","1","","2018-12-14T11:52:08","QR_CODE"
"00844","","1","","2018-12-14T11:52:13","QR_CODE"
"00846","","1","","2018-12-14T11:52:17","QR_CODE"
"00847","","1","","2018-12-14T11:52:23","QR_CODE"
"00848","","1","","2018-12-14T11:52:29","QR_CODE"
"00902","","1","","2018-12-14T11:52:32","QR_CODE"
"00903","","1","","2018-12-14T11:52:39","QR_CODE"
"00904","","1","","2018-12-14T11:52:46","QR_CODE"
"00905","","1","","2018-12-14T11:52:51","QR_CODE"
"00906","","1","","2018-12-14T11:52:56","QR_CODE"
"00907","","1","","2018-12-14T11:53:02","QR_CODE"
"00908","","1","","2018-12-14T11:53:08","QR_CODE"
"00909","","1","","2018-12-14T11:53:12","QR_CODE"
"00910","","1","","2018-12-14T11:53:23","QR_CODE"
"00911","","1","","2018-12-14T11:53:30","QR_CODE"
"00912","","1","","2018-12-14T11:53:34","QR_CODE"
"00913","","1","","2018-12-14T11:53:38","QR_CODE"
"00896","","1","","2018-12-14T11:53:42","QR_CODE"
"00897","","1","","2018-12-14T11:53:49","QR_CODE"
"00898","","1","","2018-12-14T11:53:52","QR_CODE"
"00899","","1","","2018-12-14T11:53:58","QR_CODE"
"00900","","1","","2018-12-14T11:54:07","QR_CODE"
"00901","","1","","2018-12-14T11:54:13","QR_CODE"
"00963","","1","","2018-12-14T11:54:18","QR_CODE"
"00964","","1","","2018-12-14T11:54:25","QR_CODE"
"00965","","1","","2018-12-14T11:54:31","QR_CODE"
"00966","","1","","2018-12-14T11:54:37","QR_CODE"
"00967","","1","","2018-12-14T11:54:42","QR_CODE"
"00968","","1","","2018-12-14T11:54:46","QR_CODE"
"00969","","1","","2018-12-14T11:54:51","QR_CODE"
"00970","","1","","2018-12-14T11:54:55","QR_CODE"
"00971","","1","","2018-12-14T11:55:00","QR_CODE"
"01172","","1","","2018-12-14T11:55:04","QR_CODE"
"01173","","1","","2018-12-14T11:55:10","QR_CODE"
