"ExcelBarcode","Name","Quantity","Description","Date","Barcode.Type","WellRow","WellCol","WellCombo","SampleID","SampleBarcode","Collection_Label","Field_Site","CollectionDate","Sample_Type","Habitat","Host","Trophic","Accessioned","PI","Metadata","Lat","Long","Processing","Storage_Room","Storage_Location","FreezerBox","Container_Size","Notes"
"'01158'","","1","","2018-12-14T11:46:52","QR_CODE","A","01","A01","WMEA_01158_No_5","01158","CMAIKI-150060","5","7/13/2018","Water","Riverine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63696","-158.05855","","","","","",""
"'01159'","","1","","2018-12-14T11:48:34","QR_CODE","B","01","B01","WMEA_01159_No_4","01159","CMAIKI-150061","4","7/31/2018","Water","Riverine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.6203","-158.01466","","","","","",""
"'01160'","","1","","2018-12-14T11:48:42","QR_CODE","C","01","C01","WMEA_01160_No_M1","01160","CMAIKI-150063","M1","10/25/2018","Water","Marine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63854","-158.0717","","","","","",""
"'01161'","","1","","2018-12-14T11:48:49","QR_CODE","D","01","D01","WMEA_01161_No_M1","01161","CMAIKI-150064","M1","10/25/2018","Water","Marine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63854","-158.0717","","","","","",""
"'01163'","","1","","2018-12-14T11:48:59","QR_CODE","E","01","E01","WMEA_01163_No_M2","01163","CMAIKI-150065","M2","10/25/2018","Water","Marine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63852","-158.07062","Filter","","","","",""
"'01164'","","1","","2018-12-14T11:49:06","QR_CODE","F","01","F01","WMEA_01164_No_M2","01164","CMAIKI-150066","M2","10/25/2018","Water","Marine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63852","-158.07062","Filter","","","","",""
"'01165'","","1","","2018-12-14T11:49:16","QR_CODE","G","01","G01","WMEA_01165_No_M1","01165","CMAIKI-150067","M1","10/25/2018","Water","Marine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63854","-158.0717","","","","","",""
"'01166'","","1","","2018-12-14T11:49:22","QR_CODE","H","01","H01","WMEA_01166_No_M1","01166","CMAIKI-150068","M1","10/25/2018","Water","Marine","Nonhost","Environmental","No","Kiana","See josh spreadsheet","21.63854","-158.0717","","","","","",""
"'00914'","","1","","2018-12-14T11:49:26","QR_CODE","A","02","A02","WMEA_00914_An_M2","00914","CoralType1A-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Cauliflower red","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00915'","","1","","2018-12-14T11:49:33","QR_CODE","B","02","B02","WMEA_00915_An_M2","00915","CoralType1B-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Cauliflower red","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00916'","","1","","2018-12-14T11:49:36","QR_CODE","C","02","C02","WMEA_00916_An_M2","00916","CoralType1C-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Cauliflower red","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00917'","","1","","2018-12-14T11:49:44","QR_CODE","D","02","D02","WMEA_00917_An_M2","00917","CoralType2A-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Ground yellow","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00918'","","1","","2018-12-14T11:49:50","QR_CODE","E","02","E02","WMEA_00918_An_M2","00918","CoralType2B-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Ground yellow","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00919'","","1","","2018-12-14T11:49:56","QR_CODE","F","02","F02","WMEA_00919_An_M2","00919","CoralType2C-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Ground yellow","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00920'","","1","","2018-12-14T11:50:01","QR_CODE","G","02","G02","WMEA_00920_An_M2","00920","CoralType3A-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Rice","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00921'","","1","","2018-12-14T11:50:07","QR_CODE","H","02","H02","WMEA_00921_An_M2","00921","CoralType3B-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Rice","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00922'","","1","","2018-12-14T11:50:16","QR_CODE","A","03","A03","WMEA_00922_An_M2","00922","CoralType3C-M2","M2","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Rice","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00849'","","1","","2018-12-14T11:50:23","QR_CODE","B","03","B03","WMEA_00849_An_M1","00849","CoralType1A-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Cauliflower red","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","","Extracted in glass bead tube"
"'00850'","","1","","2018-12-14T11:50:29","QR_CODE","C","03","C03","WMEA_00850_An_M1","00850","CoralType1B-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Cauliflower red","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00851'","","1","","2018-12-14T11:50:35","QR_CODE","D","03","D03","WMEA_00851_An_M1","00851","CoralType1C-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Cauliflower red","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00852'","","1","","2018-12-14T11:50:39","QR_CODE","E","03","E03","WMEA_00852_An_M1","00852","CoralType2A-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Lobata yellow","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00853'","","1","","2018-12-14T11:50:45","QR_CODE","F","03","F03","WMEA_00853_An_M1","00853","CoralType2B-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Lobata yellow","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
