[Sample Setup]
Well,Well Position,Well Comments,Sample Name,Sample Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity
1,A1,WMEA_01158_No_5,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
2,B1,WMEA_01159_No_4,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
3,C1,WMEA_01160_No_M1,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
4,D1,WMEA_01161_No_M1,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
5,E1,WMEA_01163_No_M2,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
6,F1,WMEA_01164_No_M2,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
7,G1,WMEA_01165_No_M1,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
8,H1,WMEA_01166_No_M1,Water,"RGB(0,102,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
9,A2,WMEA_00914_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
10,B2,WMEA_00915_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
11,C2,WMEA_00916_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
12,D2,WMEA_00917_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
13,E2,WMEA_00918_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
14,F2,WMEA_00919_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
15,G2,WMEA_00920_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
16,H2,WMEA_00921_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
17,A3,WMEA_00922_An_M2,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
18,B3,WMEA_00849_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
19,C3,WMEA_00850_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
20,D3,WMEA_00851_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
21,E3,WMEA_00852_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
22,F3,WMEA_00853_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
23,G3,WMEA_00854_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
24,H3,WMEA_00855_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
25,A4,WMEA_00856_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
26,B4,WMEA_00857_An_M1,Coral,"RGB(204,0,255)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
27,C4,WMEA_00837_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
28,D4,WMEA_00838_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
29,E4,WMEA_00839_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
30,F4,WMEA_00840_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
31,G4,WMEA_00841_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
32,H4,WMEA_00842_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
33,A5,WMEA_00843_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
34,B5,WMEA_00844_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
35,C5,WMEA_00846_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
36,D5,WMEA_00847_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
37,E5,WMEA_00848_An_M1,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
38,F5,WMEA_00902_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
39,G5,WMEA_00903_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
40,H5,WMEA_00904_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
41,A6,WMEA_00905_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
42,B6,WMEA_00906_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
43,C6,WMEA_00907_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
44,D6,WMEA_00908_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
45,E6,WMEA_00909_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
46,F6,WMEA_00910_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
47,G6,WMEA_00911_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
48,H6,WMEA_00912_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
49,A7,WMEA_00913_An_M2,MarineInvert,"RGB(204,255,0)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
50,B7,WMEA_00896_Pl_M1,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
51,C7,WMEA_00897_Pl_M1,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
52,D7,WMEA_00898_Pl_M1,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
53,E7,WMEA_00899_Pl_M1,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
54,F7,WMEA_00900_Pl_M1,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
55,G7,WMEA_00901_Pl_M1,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
56,H7,WMEA_00963_Pl_M2,CCA,"RGB(0,255,102)",BarcodeAmp,"RGB(255,160,122)",UNKNOWN,SYBR,,
